Date,Time,T.ID,GP.Vol,NP.Vol,Wat.Vol,GT.Vol,NT.Vol,Prd.Lvl,Wat.Lvl,Ullage,Avg.Tmp,Prd.Wgt,Prd.Dens
2017/09/07,00:01:00,01,9963,9828,0,9963,9828,136.53,-0.41,5995,31.19,nan,745,
2017/09/07,00:01:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:01:00,03,11961,11787,1,11962,11788,116.15,0.12,8463,31.92,nan,745,
2017/09/07,00:01:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.30,nan,826,
2017/09/07,00:02:00,01,9963,9828,0,9963,9828,136.53,-0.41,5995,31.19,nan,745,
2017/09/07,00:02:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:02:00,03,11961,11787,1,11962,11788,116.14,0.12,8463,31.92,nan,745,
2017/09/07,00:02:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.30,nan,826,
2017/09/07,00:03:00,01,9963,9828,0,9963,9828,136.53,-0.41,5995,31.19,nan,745,
2017/09/07,00:03:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:03:00,03,11961,11787,1,11962,11788,116.14,0.12,8463,31.92,nan,745,
2017/09/07,00:03:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.30,nan,826,
2017/09/07,00:04:00,01,9964,9828,0,9964,9828,136.53,-0.41,5995,31.19,nan,745,
2017/09/07,00:04:00,02,5211,5141,0,5211,5141,83.18,-0.23,10747,31.09,nan,745,
2017/09/07,00:04:00,03,11957,11784,1,11958,11785,116.11,0.12,8467,31.92,nan,745,
2017/09/07,00:04:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.30,nan,826,
2017/09/07,00:05:00,01,9960,9825,0,9960,9825,136.49,-0.41,5998,31.19,nan,745,
2017/09/07,00:05:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:05:00,03,11958,11784,1,11959,11785,116.12,0.12,8466,31.92,nan,745,
2017/09/07,00:05:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.30,nan,826,
2017/09/07,00:06:00,01,9961,9825,0,9961,9825,136.50,-0.41,5997,31.19,nan,745,
2017/09/07,00:06:00,02,5211,5141,0,5211,5141,83.18,-0.23,10747,31.09,nan,745,
2017/09/07,00:06:00,03,11958,11784,1,11959,11785,116.12,0.12,8466,31.92,nan,745,
2017/09/07,00:06:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.30,nan,826,
2017/09/07,00:07:00,01,9961,9825,0,9961,9825,136.50,-0.41,5997,31.19,nan,745,
2017/09/07,00:07:00,02,5211,5141,0,5211,5141,83.18,-0.23,10747,31.09,nan,745,
2017/09/07,00:07:00,03,11957,11784,1,11958,11785,116.11,0.12,8467,31.92,nan,745,
2017/09/07,00:07:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.30,nan,826,
2017/09/07,00:08:00,01,9961,9825,0,9961,9825,136.50,-0.41,5997,31.19,nan,745,
2017/09/07,00:08:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:08:00,03,11955,11782,1,11956,11783,116.10,0.12,8469,31.92,nan,745,
2017/09/07,00:08:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.30,nan,826,
2017/09/07,00:09:00,01,9961,9825,0,9961,9825,136.50,-0.41,5997,31.19,nan,745,
2017/09/07,00:09:00,02,5211,5141,0,5211,5141,83.18,-0.23,10747,31.09,nan,745,
2017/09/07,00:09:00,03,11956,11782,1,11957,11783,116.10,0.12,8468,31.92,nan,745,
2017/09/07,00:09:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.30,nan,826,
2017/09/07,00:10:00,01,9960,9825,0,9960,9825,136.49,-0.41,5998,31.19,nan,745,
2017/09/07,00:10:00,02,5211,5141,0,5211,5141,83.18,-0.23,10747,31.09,nan,745,
2017/09/07,00:10:00,03,11956,11782,1,11957,11783,116.10,0.12,8468,31.92,nan,745,
2017/09/07,00:10:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.30,nan,826,
2017/09/07,00:11:00,01,9961,9825,0,9961,9825,136.50,-0.41,5997,31.19,nan,745,
2017/09/07,00:11:00,02,5211,5141,0,5211,5141,83.17,-0.22,10747,31.09,nan,745,
2017/09/07,00:11:00,03,11956,11782,1,11957,11783,116.10,0.12,8468,31.92,nan,745,
2017/09/07,00:11:00,04,26390,26084,0,26390,26084,170.20,-0.47,5302,33.30,nan,826,
2017/09/07,00:12:00,01,9961,9825,0,9961,9825,136.50,-0.41,5998,31.19,nan,745,
2017/09/07,00:12:00,02,5211,5141,0,5211,5141,83.18,-0.23,10747,31.09,nan,745,
2017/09/07,00:12:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:12:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.30,nan,826,
2017/09/07,00:13:00,01,9961,9825,0,9961,9825,136.50,-0.41,5997,31.19,nan,745,
2017/09/07,00:13:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:13:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:13:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.30,nan,826,
2017/09/07,00:14:00,01,9960,9825,0,9960,9825,136.49,-0.41,5998,31.19,nan,745,
2017/09/07,00:14:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:14:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:14:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.29,nan,826,
2017/09/07,00:15:00,01,9961,9825,0,9961,9825,136.50,-0.41,5997,31.19,nan,745,
2017/09/07,00:15:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:15:00,03,11954,11781,1,11955,11782,116.08,0.12,8470,31.92,nan,745,
2017/09/07,00:15:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.29,nan,826,
2017/09/07,00:16:00,01,9961,9825,0,9961,9825,136.50,-0.41,5998,31.19,nan,745,
2017/09/07,00:16:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:16:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:16:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.29,nan,826,
2017/09/07,00:17:00,01,9961,9825,0,9961,9825,136.50,-0.41,5997,31.19,nan,745,
2017/09/07,00:17:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:17:00,03,11955,11781,1,11956,11782,116.09,0.13,8469,31.92,nan,745,
2017/09/07,00:17:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.29,nan,826,
2017/09/07,00:18:00,01,9961,9825,0,9961,9825,136.50,-0.41,5997,31.19,nan,745,
2017/09/07,00:18:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:18:00,03,11955,11781,1,11955,11782,116.09,0.12,8470,31.92,nan,745,
2017/09/07,00:18:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.29,nan,826,
2017/09/07,00:19:00,01,9958,9822,0,9958,9822,136.46,-0.41,6001,31.19,nan,745,
2017/09/07,00:19:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:19:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:19:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.29,nan,826,
2017/09/07,00:20:00,01,9957,9822,0,9957,9822,136.46,-0.41,6001,31.19,nan,745,
2017/09/07,00:20:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:20:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:20:00,04,26389,26084,0,26389,26084,170.20,-0.46,5303,33.29,nan,826,
2017/09/07,00:21:00,01,9957,9822,0,9957,9822,136.46,-0.41,6001,31.19,nan,745,
2017/09/07,00:21:00,02,5211,5140,0,5211,5140,83.17,-0.23,10747,31.09,nan,745,
2017/09/07,00:21:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:21:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.29,nan,826,
2017/09/07,00:22:00,01,9958,9822,0,9958,9822,136.46,-0.41,6000,31.19,nan,745,
2017/09/07,00:22:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:22:00,03,11954,11781,1,11955,11782,116.09,0.13,8470,31.92,nan,745,
2017/09/07,00:22:00,04,26389,26084,0,26389,26084,170.19,-0.46,5303,33.29,nan,826,
2017/09/07,00:23:00,01,9957,9822,0,9957,9822,136.45,-0.41,6001,31.19,nan,745,
2017/09/07,00:23:00,02,5211,5141,0,5211,5141,83.18,-0.23,10747,31.09,nan,745,
2017/09/07,00:23:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:23:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.29,nan,826,
2017/09/07,00:24:00,01,9957,9822,0,9957,9822,136.46,-0.41,6001,31.19,nan,745,
2017/09/07,00:24:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:24:00,03,11954,11781,1,11955,11782,116.09,0.12,8470,31.92,nan,745,
2017/09/07,00:24:00,04,26390,26084,0,26390,26084,170.20,-0.46,5302,33.29,nan,826,
2017/09/07,00:25:00,01,9958,9822,0,9958,9822,136.46,-0.41,6001,31.19,nan,745,
2017/09/07,00:25:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:25:00,03,11955,11781,1,11955,11782,116.09,0.12,8470,31.92,nan,745,
2017/09/07,00:25:00,04,26377,26072,0,26377,26072,170.12,-0.46,5315,33.29,nan,826,
2017/09/07,00:26:00,01,9957,9822,0,9957,9822,136.45,-0.41,6001,31.19,nan,745,
2017/09/07,00:26:00,02,5211,5141,0,5211,5141,83.18,-0.23,10747,31.09,nan,745,
2017/09/07,00:26:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:26:00,04,26377,26072,0,26377,26072,170.12,-0.46,5315,33.29,nan,826,
2017/09/07,00:27:00,01,9957,9822,0,9957,9822,136.46,-0.41,6001,31.19,nan,745,
2017/09/07,00:27:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:27:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:27:00,04,26377,26072,0,26377,26072,170.12,-0.46,5315,33.29,nan,826,
2017/09/07,00:28:00,01,9957,9822,0,9957,9822,136.46,-0.41,6001,31.19,nan,745,
2017/09/07,00:28:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:28:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:28:00,04,26378,26072,0,26378,26072,170.12,-0.46,5314,33.28,nan,826,
2017/09/07,00:29:00,01,9958,9822,0,9958,9822,136.46,-0.41,6001,31.19,nan,745,
2017/09/07,00:29:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:29:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:29:00,04,26377,26072,0,26377,26072,170.12,-0.46,5315,33.28,nan,826,
2017/09/07,00:30:00,01,9957,9822,0,9957,9822,136.46,-0.41,6001,31.19,nan,745,
2017/09/07,00:30:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:30:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:30:00,04,26377,26072,0,26377,26072,170.12,-0.46,5315,33.28,nan,826,
2017/09/07,00:31:00,01,9957,9822,0,9957,9822,136.46,-0.41,6001,31.19,nan,745,
2017/09/07,00:31:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:31:00,03,11955,11781,1,11956,11782,116.09,0.12,8469,31.92,nan,745,
2017/09/07,00:31:00,04,26377,26072,0,26377,26072,170.12,-0.46,5315,33.28,nan,826,
2017/09/07,00:32:00,01,9958,9822,0,9958,9822,136.46,-0.41,6000,31.19,nan,745,
2017/09/07,00:32:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:32:00,03,11955,11781,1,11955,11782,116.09,0.12,8470,31.92,nan,745,
